keyword,tweets
modi,"@elonmusk You've got pbly coolest music taste among all people I admire which are a few actually, J.Rogan, r.i.p. S.Hawking, and you mr Musk! Great for coding by night 🌜🌑 Any chance I can convince you to come to Polish Hackaton with you on grand finale as live DJ? 😅"
modi,@elonmusk 👆👌👆👌👆
modi,@elonmusk MOVEEE  TO  G!V|EAWAAAY! 👉👉 BCRYP dot NET
modi,@elonmusk 👆🤑👆🤑👆
modi,@elonmusk GUYS GO  GO  GO 👉👉 BCRYP dot NET
modi,@Kurbii876 @elonmusk Learn it or pick a new career.  You’re welcome.
modi,@elonmusk Hmm stay away from the crystal meth my g 🤙🏽
modi,💯💯💯
modi,@elonmusk ONLLY  ONE  DAY!!! 👉👉 CRPYEAR dot NET
modi,💯💯💯
modi,@elonmusk TAKE  A  PART! 👉👉 CRPYEAR dot NET
modi,"@TradeSniperSara @unusual_whales @elonmusk If you like them, I can recommend a lot of similar (and different, but just as good).

I've been a bit of an synth/electro snob since uhh... well, since it existed. I like the vocal/ethereal with 808's the most."
modi,👟👟👟🤑🤑🤑
modi,"@elonmusk 2 down, tired, pay me, taken what they give me because I’m working for a living https://t.co/7cyOt8DGMb"
modi,@elonmusk TAKE  A  PART! 👉👉 BPRIZE dot NET
modi,👆👌👆👌👆
modi,@elonmusk AlRDR0P  GOO  👉👉 CRPYEAR dot NET
modi,🤑🤑🤑
modi,@elonmusk ONLLY  ONE  DAY!!! 👉👉 BPRIZE dot NET
modi,💯💯💯
modi,"@elonmusk Stop evading taxes you deadbeat oligarch…!
#MedicareForAll 
#GeneralStrike https://t.co/jA8IFQ6z0V"
modi,@elonmusk TAAKE  lT  G!V|EAWAAAY!!! 👉👉 CRYPFANS dot NET
modi,"@elonmusk Where do you get off on absorbing more money than you could ever fucking spend.  Whilst the rest of us become slaves to your Narcissism &amp; to those like you. Bezos, Gates, Zuckerberg, that limited number of fucking scum who own the world."
modi,@elonmusk Only an A.I network would want to put microchips or nano technology in peoples heads... Hence the movie scenario of Transcendence..
modi,👆🤑👆🤑👆
modi,@elonmusk Is #happy
modi,👟👟👟🤑🤑🤑
modi,@elonmusk AlRRDR0PP  👉👉 CRYPFANS dot NET
modi,@elonmusk TAKE  A  PART! 👉👉 CRPYEAR dot NET
modi,💯💯💯
modi,@buyukkedicik @elonmusk THlS IS CHANCE!! MOOVE TO G!V|EAWAY! ➜➜ cryptoear dot net
modi,@elonmusk I would give the Biden Administration exactly what they are giving the American people and that is absolutely nothing.
modi,@jay_nomics @TyrantII @robertlay @elonmusk Where can you live better while paying less tax?
modi,@elonmusk https://t.co/q7IwZPBT6g
